business_id,name,rating,rating_bucket
JfSFcZjRfUKpjSq9s42jYA,Velvet Taco,4.5,High (4–5 stars)
yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase,4.4,High (4–5 stars)
SzMqKnNn32pbsdrsBkQhfQ,Veracruz Fonda & Bar,4.3,High (4–5 stars)
2EnKNyqXVTAsG5V9VJNxxg,Tiny Boxwoods,3.9,Medium (3–4 stars)
6oIKOIJmrSxv1MjVzg_hXQ,The Peacock,4.1,High (4–5 stars)
O39mniGKRun7UrA1PEkUxg,Murray's Tavern,4.4,High (4–5 stars)
j3CWjH0XtesbbDZFVq3c7Q,Pinthouse Pizza,4.2,High (4–5 stars)
ZvYDNfxeJgnB0_9jwSAsxQ,Mandola's Italian,3.9,Medium (3–4 stars)
zZIWHmITwqaC8OhnPkjEIQ,"Snooze, an A.M. Eatery",4.1,High (4–5 stars)
nXtn29mTWlYeHxvHSz4dfA,Koriente,4.4,High (4–5 stars)
YwdNk5vD1gi6VttNucMDbA,sway thai,3.8,Medium (3–4 stars)
TxJxKvTD_vjpUAwW54h1EQ,Hi Wings,4.6,High (4–5 stars)
Gzi27rYJ2RegyRY_KqtloA,Bamboo House Austin,4.3,High (4–5 stars)
U1ti23Ir3tF5kg28rCBGDw,Neighborhood Sushi,4.2,High (4–5 stars)
YrReCTKKKRBEDMwFqcftsA,La Piscina,4.3,High (4–5 stars)
1hJEqPHe65oJmO6scIKvKA,Tumble 22 Chicken Joint,4,High (4–5 stars)
N20Ind9AWLbsCFFxtR_URQ,Gino's Vino Osteria,4.3,High (4–5 stars)
3gYruqSQnMtCmF2DiXcEOQ,Vespaio Ristorante,4.1,High (4–5 stars)
XzMq2IRnVCloPe55VhFJMw,Sixty Vines,4.5,High (4–5 stars)
eZE0FdYB9rUvbuPS4fNyYA,Arturo's Underground Cafe,4.3,High (4–5 stars)
dOQPeXu27YmjYFfV5tX-Zg,Bulevar Mexican Kitchen,4.2,High (4–5 stars)
6e3UQmbqFLGWWDCI5VczCA,Hopfields,3.9,Medium (3–4 stars)
VLkKyk6RA6Tn02YQjyILIw,District Kitchen - Anderson Lane,4.3,High (4–5 stars)
TKEmPN45epfqtNQq6wY8Dg,ALC Steaks,3.9,Medium (3–4 stars)
lVLUITyRS9M0_P5POGnHPw,Soupleaf Hot Pot,4.5,High (4–5 stars)
DzrgzDDKSpACYWW3yKSt7A,Oseyo,3.8,Medium (3–4 stars)
mHHPfCZGRp4BQe_QvVno7g,Juliet Italian Kitchen,3.8,Medium (3–4 stars)
D0a-5tvB43JItaD0cvImhA,MezzeMe,4.4,High (4–5 stars)
P5nJYSMnGj1tczv_PkNhyw,5280 Burger & Taphouse,4.3,High (4–5 stars)
2vppZx0rTDZtCzw-NljdRQ,The Capital Grille,4.2,High (4–5 stars)
0Tjiph2juRLnj74gDix18A,Arriba Abajo,4.3,High (4–5 stars)
Y6tpEFutDG3a-DHu2cJ7LQ,Jacoby's Restaurant & Mercantile,3.8,Medium (3–4 stars)
FVANupKYOw0gcAF7J6bebQ,House of Three Gorges,4.4,High (4–5 stars)
r7m-V0drTnK9o2Mg1FcxAQ,Gràcia Mediterranean,4.6,High (4–5 stars)
4mtF2og-yXj7GbGgJNxq0w,Corinne Austin,4.1,High (4–5 stars)
U9p0G4OOUWP425Ww8FHaGQ,Little Deli & Pizzeria,4.5,High (4–5 stars)
ZNwznJunPKKLyc-YSAbCcw,Mandala Kitchen & Bar,4.3,High (4–5 stars)
NplrGF_5kZx5K67CgxqaKg,Marufuku Ramen,4.4,High (4–5 stars)
pKXtSuabMA63tYCk1UMR-g,Turf N Surf Po' Boy,4.5,High (4–5 stars)
i_2XxgXPFjVxkXRnHjtu-A,Fig Italian Kitchen & Bar,4.3,High (4–5 stars)
kqeblz37dvpiwy7-l9VfXA,Ceviche7,4.8,High (4–5 stars)
Qmq4gr5Mmo2oIVejag48PA,Kerbey Lane Cafe - Central,3.9,Medium (3–4 stars)
shFV63u-qAkHNfz3ZG4sIw,Tumble 22,4.1,High (4–5 stars)
aTvusfYoXUQ6Nem2-Vp4Zw,Ezov,4.4,High (4–5 stars)
HKi7fd2bTzZfVB_Dz9vGng,Lucky Robot,4.1,High (4–5 stars)
C9QXRfi43sYP5lXkNGrM7A,Lazarus Brewing,4.5,High (4–5 stars)
7ZU9DwctpN_tkC7EOd3C-Q,Ramen Tatsu-Ya,4.1,High (4–5 stars)
190HyYQqSvzNccWArwFklg,Yamas Greek Kitchen + Bar,3.8,Medium (3–4 stars)
ODKhTnArDrUsuqIlKNd2_g,Bikkle Jamaican Restaurant,4.5,High (4–5 stars)
Oj0dSJ9oL1jqf6Ud6cOYkA,Roaring Fork,4,High (4–5 stars)
LA5QhXzorbHpjY6pjHmHSA,Two Hands,4.2,High (4–5 stars)
fszy3S_lTDUt32f9gb2-pg,Carpenters Hall,4.2,High (4–5 stars)
k8KHoiDklnXDtXvLyxbd-w,Black's Barbecue Austin,4,High (4–5 stars)
Qr6F7HEGMq8U-TmWrqDxtA,El Raval,4.3,High (4–5 stars)
ZYtgu8IWHoAiO56vvxsiqg,L'Oca d'Oro,4,High (4–5 stars)
bQbO4RPTcS50EzoLx2Y2QQ,Sugar Pine,4.4,High (4–5 stars)
CQZfOv-D3tylQWJicrUkUg,Craft Omakase,4.9,High (4–5 stars)
RUs0hG72w5xa76-10ZhSXA,June's,4,High (4–5 stars)
6cpyParNNfo2c0XFm4caVA,Old Thousand,3.9,Medium (3–4 stars)
w4W4RMx3BkDWQ9IagXAGSg,Lefty's Brick Bar,4.3,High (4–5 stars)
mbNRIX5ROAzeDAmCVM_xzg,Via 313 Pizza,4.2,High (4–5 stars)
KQds0wAC6UBUxCBpRqVDHg,Apt 115,4.8,High (4–5 stars)
1-0Jhx0QpzPk9cGcMYRUDA,Halal Bros,4.2,High (4–5 stars)
kbFl5B33CiSS3bSNULdjfw,The Guest House Austin,4.1,High (4–5 stars)
6A-flzVZVs1l-Jsl4tRvjQ,"Snooze, an A.M. Eatery",4.2,High (4–5 stars)
4JNsfaP4ILEuzidhbPgvRQ,Patrizi's,4.5,High (4–5 stars)
v87I5i4XxiCr9Ihiqkbc4A,The Grove Wine Bar & Kitchen,3.9,Medium (3–4 stars)
-JqrUI1y8jaUQma7t2ShUA,Revelry Kitchen + Bar,4.2,High (4–5 stars)
7LF9LnQ0LPsMAzVRPhFzMw,Gina's on Congress,4.4,High (4–5 stars)
